证券代码,股票名称,盈亏金额,标签
sh605055,迎丰股份,-14052.02,机器人
sz000815,美利云,-11705.35,算力
sh603767,中马传动,-11405.59,机器人
sh603881,数据港,-6987.04,算力
sz000547,航天发展,-6448.72,航天
sz002413,雷科防务,-6001.97,卫星
sz002723,小菘股份,-5873.6,AI
sz002151,北斗星通,-5019.6,卫星
sz000859,国风新材,-4843.40,光刻胶
sh603093,南华期货,-4830.77,期货
sz002721,金一文化,-4773.37,黄金
sh605303,园林股份,-4336.21,内存
sh600828,茂业商业,-3729.94,零售
sz002629,仁智股份,-3514.24,原油
sh605116,奥锐特,-3171.48,创新药
sh600691,潞化科技,-3083.7,化工
sh600170,上海建工,-3062.17,基建
sh600192,长城电工,-3026.22,电力
sh600111,北方稀土,-2871.97,稀土
sz002112,三变科技,-2687.26,电力
sh600800,渤海化学,-2585.78,化工
sz002977,天箭科技,-2377.18,军工
sz000665,湖北广电,-2244.46,元宇宙
sz002305,*ST南置,-2221.09,st
sz002448,中原内配,-2215.08,物流
sz002468,申通快递,-2164.64,物流
sh600082,st海泰,-2060.46,st
sh603259,药明康德,-1984.02,创新药
sh513090,香港证券,-1968.53,券商
sh601606,长城军工,-1949.48,军工
sh603290,斯达半导,-1854.59,半导体
sz000572,海马汽车,-1791.33,汽车
sz002195,岩山科技,-1779.59,脑机
sh605598,上海港湾,-1708.59,商业航天
sz001221,悍高集团,-1706.75,次新
sz002465,海格通信,-1648.60,卫星
sh600358,国旅联合,-1598.23,旅游
sh600967,内蒙一机,-1447.85,军工
sz002695,煌上煌,-1426.31,预制菜
sh603598,引力传媒,-1390.95,短剧
sz002773,康弘药业,-1338.2,创新药
sh600233,圆通速递,-1199.13,物流
sz000063,中兴通讯,-1198.96,通信
sz000875,电投绿能,-1197.79,电力
sz002235,安妮股份,-1161.19,数据确权
sz002298,中电鑫龙,-1102.62,智能电网
sh601965,中国汽研,-1019.62,智能汽车
sh603611,诺力股份,-997.29,机器人
sz002772,众兴菌业,-994.96,农业
520700,港股通创新药etf万家,-979.80,创新药
159937,黄金9999,-950.85,黄金
sh600010,包钢股份,-919.9,稀土
sz002391,长青股份,-859.33,农药
sh600589,大位科技,-819.54,算力
sh603993,洛阳钼业,-780.83,有色
sh600388,龙净环保,-751.36,环保
sh603878,武进不锈,-693.04,核电
sh603395,红四方,-673.15,化肥
sz003040,楚天龙,-670.05,数字货币
sh603332,苏州龙杰,-654.68,军工
sz002793,罗欣药业,-654.34,创新药
sz002846,英联股份,-637.31,PET铜箔
sz002146,荣盛发展,-634.67,地产
sh603300,海南华铁,-451.05,算力
sh600684,珠江股份,-410.19,地产
