股票名称,合计亏损,账户来源
惠泉啤酒,-42605.08,银河
石大胜华,-23332.0,银河
迎丰股份,-14052.02,广发
江特电机,-13729.435,银河
深圳新星,-13127.28,银河
金瑞矿业,-12060.81,银河
雷科防务,-11503.150000000001,广发+银河
友邦吊顶,-10082.92,银河
合锻智能,-9480.1,银河
石基信息,-9385.94,银河
五洲新春,-6875.1900000000005,广发+银河
数据港,-6034.87,广发
百傲化学,-5985.5,银河
小菘股份,-5873.6,广发
盛屯矿业,-5577.11,银河
昭衍新药,-5520.23,银河
利欧股份,-5236.7699999999995,广发+银河
群兴玩具,-5037.51,银河
北斗星通,-5019.6,广发
金一文化,-4773.37,广发
航天发展,-4421.59,广发
恒饮石化,-4215.55,银河
大众公用,-3801.8,银河
二六三,-3760.04,银河
征和工业,-3743.88,广发+银河
美利云,-3719.68,广发
仁智股份,-3514.24,广发
引力传媒,-3433.45,广发+银河
中恒电气,-3392.4700000000003,广发+银河
国风新材,-3338.49,银河
中金岭南,-3327.42,银河
利通电子,-3270.1,广发
阳煤化工,-3083.7,广发
欧菲光,-3081.04,银河
恒丰纸业,-3065.59,银河
上海建工,-3062.17,广发
博纳影业,-3021.22,银河
园林股份,-3002.1099999999997,广发+银河
大港股份,-2972.72,银河
中瓷电子,-2915.08,广发
渤海汽车,-2834.51,银河
南华期货,-2667.1,广发
渤海化学,-2585.78,广发
长城电工,-2524.2,广发
三维通信,-2381.71,银河
*ST南置,-2221.09,广发
格林美,-2202.5,银河
多氟多,-2149.13,广发
中闽能源,-2136.4,银河
神马电力,-2130.79,银河
上海港湾,-2099.29,广发
海泰发展,-2060.46,广发
百利电气,-2036.55,广发+银河
亚翔集成,-2035.96,广发
白银有色,-2033.15,银河
亚太药业,-2030.58,银河
中信金属,-2023.44,银河
长城军工,-1949.48,广发
杭电股份,-1869.74,广发
凯撒旅业,-1868.2,银河
三和管桩,-1807.95,银河
海马汽车,-1791.33,广发
牧高笛,-1711.88,银河
悍高集团,-1706.75,广发
香港证券,-1693.51,广发+银河
川润股份,-1659.64,广发
药明康德,-1647.28,广发
内蒙一机,-1447.85,广发
煌上粕,-1426.31,广发
青山纸业,-1411.54,银河
海格通信,-1408.94,广发
奥士康,-1402.91,银河
茂业商业,-1397.14,广发
深圳能源,-1347.01,银河
斯达半导,-1343.2,广发
康弘药业,-1338.2,广发
深华发A,-1305.5,银河
万通发展,-1303.94,银河
光伏E,-1245.9,银河
电投绿能,-1197.79,广发
滨江集团,-1140.54,银河
博菲电气,-1135.41,银河
星网馈捷,-1129.56,广发
中电鑫龙,-1102.62,广发
歌尔股份,-1066.95,银河
北化股份,-1058.33,广发
众兴菌业,-994.96,广发
金龙汽车,-981.57,银河
万向钱潮,-980.69,银河
中马传动,-960.91,广发
三六零,-957.7,银河
黄金9999,-939.11,广发
包钢股份,-919.9,广发
HK创新药,-894.47,广发
北方稀土,-876.87,广发
三变科技,-872.27,广发
长青股份,-859.33,广发
中国电影,-837.7,银河
大位科技,-819.54,广发
洛阳钼业,-780.83,广发
应流股份,-759.24,广发
龙净环保,-751.36,广发
罗欣药业,-750.95,广发
友发集团,-744.7,银河
辉隆股份,-734.64,银河
三安光电,-732.06,广发
立讯精密,-702.66,广发
红四方,-673.15,广发
英联股份,-637.31,广发
荣盛发展,-634.67,广发
苏州龙杰,-631.68,广发
中国汽研,-590.65,广发
华资实业,-503.52,银河
南京公用,-500.25,银河
申通快递,-495.78,广发
常山北明,-474.05,银河
誉衡药业,-474.0,广发
圆通速递,-473.41,广发
英维克,-455.22,银河
依依股份,-452.08,广发
海南华铁,-451.05,广发
大有能源,-434.51,银河
合肥城建,-421.16,广发
珠江股份,-410.19,广发
光大嘉宝,-387.08,银河
天季科技,-382.19,广发
国光连锁,-380.52,银河
奥铝特,-352.67,广发
工商银行,-349.1,广发
协鑫集成,-320.99,银河
安妮股份,-289.93,广发
中兴通讯,-271.89,广发
楚天龙,-264.46,广发
欢瑞世纪,-255.1,广发
迎驾贡酒,-246.59,广发
天奇股份,-244.5,银河
武进不锈,-238.74,广发
国机重装,-216.5,银河
东阳光,-213.5,银河
海信家电,-208.15,银河
纳指科技,-194.44,广发
德才股份,-179.81,广发
诡力股份,-173.1,广发
中原内配,-159.23,广发
华安科技,-158.0,广发
贵广网络,-155.8,银河
宁波华翔,-154.26,广发
天地在线,-146.0,广发
中国化学,-141.31,广发
森源电气,-139.67,银河
ST联合,-120.68,广发
罗牛山,-116.4,广发
航天科技,-107.97,银河
中航西飞,-107.81,银河
紫光股份,-102.87,广发
海鸥住工,-87.02,银河
菜百股份,-81.035,银河
创新药WJ,-78.47,广发
同济科技,-70.24,银河
恒宝股份,-58.2,银河
黄河旋风,-52.25,银河
湖北广电,-49.52,广发
万邦德,-49.5,银河
旭升集团,-31.52,广发
兰生股份,-30.27,银河
黄金LOF,-23.5,银河
海南瑞泽,-22.57,银河
越秀资本,-22.05,银河
长江电力,-20.61,广发
信创ETF,-13.0,广发
招商银行,-9.22,广发
畅联股份,-8.72,广发
福元医药,-5.68,银河
