证券代码,股票名称,盈亏金额,标签
sh600573,惠泉啤酒,-42605.08,
sh603026,石大胜华,-25497.44,锂
sh603978,深圳新星,-14964.73,锂
sz002176,江特电机,-13278.39,锂
sh603011,合锻智能,-10945.98,核电
sz002718,友邦吊顶,-4904.89,AI
sz002153,石基信息,-9385.94,AI
sz002413,雷科防务,-6404.94,卫星
sh603360,百傲化学,-6373.89,
sh603127,昭衍新药,-5622.03,药
sh600711,盛屯矿业,-5577.11,
sz002575,群兴玩具,-5037.51,算力
sh600714,金瑞矿业,-4705.92,
sh600635,大众公用,-3801.8,
sz002467,二六三,-3760.04,
sz001330,博纳影业,-3641.38,
000859,国风新材,-2387.51,
sz000060,中金岭南,-3327.42,
sh603530,神马电力,-2984.96,电力
sz002077,大港股份,-2972.72,
sh600960,渤海汽车,-2834.51,
sh600686,金龙汽车,-2821.15,
sz002456,欧菲光,-2798.15,
sz002115,三维通信,-5622.50,卫星
sz000158,常山北明,-1121.56,算力
sz002340,格林美,-2262.5,
sh600163,中闽能源,-2136.4,
sh603598,引力传媒,-10129.33,
sh601212,白银有色,-2033.13,
sh601061,中信金属,-2023.44,
sz002913,奥士康,-1917.17,
sz000796,凯撒旅业,-1868.2,
sz002241,歌尔股份,-1867.92,
sz003037,三和管桩,-1807.93,
sz002370,亚太药业,-1788.4,
sh603908,牧高笛,-1711.88,
sh600846,同济科技,-1674.55,
sh562970,光伏E,-1570.33,
sh601360,三六零,-1437.24,
sz002556,辉隆股份,-1294.90,
sz000020,深华发A,-1169.63,
sz002244,滨江集团,-1146.34,
sh002793,罗欣药业,-1090.23,
sz000027,深圳能源,-797.84,
sz002596,海南瑞泽,-772.63,
sh601686,友发集团,-744.7,
sh600191,华资实业,-649.52,
sz000421,南京公用,-506.25,
sh600403,大有能源,-434.31,
sh600622,光大嘉宝,-387.08,
sh600356,恒丰纸业,-365.59,
sh605599,菜百股份,-283.87,
sh601399,国机重装,-216.5,核电
sz000921,海信家电,-208.15,
